"","type","severity","pedestrian","bicycle","motorcycle","roadtype","coord_e","coord_n","weekday","hour","date","accidents"
"42939","Turning left or right","Property damage",FALSE,FALSE,FALSE,"Principal road",2683160,1251547,"Saturday","11h-12h",2020-01-01,1
"42940","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683212,1248574,"Saturday","12h-13h",2020-01-01,1
"42941","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2679515,1249329,"Saturday","12h-13h",2020-01-01,1
"42942","Parking","Property damage",FALSE,FALSE,FALSE,"Principal road",2681951,1251837,"Saturday","12h-13h",2020-01-01,1
"42943",NA,"Property damage",FALSE,FALSE,FALSE,"Minor road",2680402,1247544,"Saturday","13h-14h",2020-01-01,1
"42944","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2680157,1247423,"Saturday","14h-15h",2020-01-01,1
"42945","Other","Severe injuries",FALSE,FALSE,FALSE,"Minor road",2683386,1248318,"Saturday","14h-15h",2020-01-01,1
"42946","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682448,1248852,"Saturday","15h-16h",2020-01-01,1
"42947","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2680916,1247835,"Saturday","16h-17h",2020-01-01,1
"42948","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2679366,1247320,"Saturday","18h-19h",2020-01-01,1
"42949","Turning-into main road","Light injuries",FALSE,TRUE,FALSE,"Minor road",2680602,1248591,"Saturday","19h-20h",2020-01-01,1
"42950","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2683712,1251510,"Saturday","20h-21h",2020-01-01,1
"42951","Turning left or right","Light injuries",FALSE,FALSE,FALSE,"Principal road",2679616,1253306,"Saturday","20h-21h",2020-01-01,1
"42952","Skidding or self-accident","Severe injuries",FALSE,TRUE,FALSE,"Minor road",2685984,1251428,"Sunday","01h-02h",2020-01-01,1
"42953","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2681732,1249956,"Sunday","09h-10h",2020-01-01,1
"42954","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2681728,1245798,"Sunday","13h-14h",2020-01-01,1
"42955","Parking","Property damage",FALSE,FALSE,FALSE,"Other",2681749,1250413,"Sunday","16h-17h",2020-01-01,1
"42956",NA,"Property damage",FALSE,FALSE,FALSE,"Minor road",2680268,1246973,"Sunday","17h-18h",2020-01-01,1
"42957","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2681526,1245850,"Sunday","17h-18h",2020-01-01,1
"42958","Skidding or self-accident","Light injuries",TRUE,FALSE,TRUE,"Principal road",2682641,1250226,"Sunday","20h-21h",2020-01-01,1
"42959","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Other",2679994,1252973,"Sunday","22h-23h",2020-01-01,1
"42960",NA,"Property damage",FALSE,FALSE,FALSE,"Principal road",2679194,1249037,"Sunday","22h-23h",2020-01-01,1
"42961","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2678640,1249791,"Monday","07h-08h",2020-01-01,1
"42962","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683212,1246931,"Monday","10h-11h",2020-01-01,1
"42963","Crossing the lane(s)","Property damage",FALSE,FALSE,FALSE,"Principal road",2684413,1251025,"Monday","12h-13h",2020-01-01,1
"42964","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2680959,1246312,"Monday","14h-15h",2020-01-01,1
"42965","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2683812,1252809,"Monday","14h-15h",2020-01-01,1
"42966",NA,"Property damage",FALSE,FALSE,FALSE,"Principal road",2683851,1247187,"Monday","14h-15h",2020-01-01,1
"42967",NA,"Property damage",FALSE,FALSE,FALSE,"Minor road",2681887,1249544,"Monday","14h-15h",2020-01-01,1
"42968","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2686301,1250701,"Monday","14h-15h",2020-01-01,1
"42969","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Other",2679042,1249946,"Monday","14h-15h",2020-01-01,1
"42970","Parking","Property damage",FALSE,FALSE,FALSE,"Other",2683516,1251696,"Monday","15h-16h",2020-01-01,1
"42971","Parking","Property damage",FALSE,FALSE,FALSE,"Principal road",2681969,1246928,"Monday","17h-18h",2020-01-01,1
"42972","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Motorway",2684543,1250971,"Tuesday","06h-07h",2020-01-01,1
"42973",NA,"Property damage",FALSE,FALSE,FALSE,"Minor road",2683159,1248637,"Tuesday","06h-07h",2020-01-01,1
"42974","Rear-end collision","Property damage",FALSE,TRUE,FALSE,"Minor road",2680933,1248022,"Tuesday","06h-07h",2020-01-01,1
"42975","Turning-into main road","Light injuries",FALSE,TRUE,FALSE,"Minor road",2681525,1246368,"Tuesday","08h-09h",2020-01-01,1
"42976","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2682734,1247350,"Tuesday","09h-10h",2020-01-01,1
"42977",NA,"Property damage",FALSE,FALSE,FALSE,"Principal road",2685175,1246584,"Tuesday","09h-10h",2020-01-01,1
"42978","Skidding or self-accident","Light injuries",FALSE,FALSE,TRUE,"Minor road",2683135,1249460,"Tuesday","10h-11h",2020-01-01,1
"42979","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2681046,1247970,"Tuesday","11h-12h",2020-01-01,1
"42980","Crossing the lane(s)","Property damage",FALSE,FALSE,FALSE,"Principal road",2683713,1250457,"Tuesday","12h-13h",2020-01-01,1
"42981","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2683343,1248199,"Tuesday","12h-13h",2020-01-01,1
"42982","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683741,1246506,"Tuesday","14h-15h",2020-01-01,1
"42983",NA,"Property damage",FALSE,FALSE,FALSE,"Principal road",2681041,1249309,"Tuesday","14h-15h",2020-01-01,1
"42984","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2683642,1247661,"Tuesday","15h-16h",2020-01-01,1
"42985","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2677687,1247042,"Tuesday","16h-17h",2020-01-01,1
"42986","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2681237,1247178,"Tuesday","17h-18h",2020-01-01,1
"42987","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2682315,1248370,"Tuesday","17h-18h",2020-01-01,1
"42988","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2680433,1248799,"Tuesday","17h-18h",2020-01-01,1
"42989","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2680452,1247497,"Tuesday","18h-19h",2020-01-01,1
"42990",NA,"Property damage",FALSE,FALSE,FALSE,"Minor road",2679825,1248125,"Tuesday","19h-20h",2020-01-01,1
"42991","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2685639,1245305,"Wednesday","07h-08h",2020-01-01,1
"42992","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2682964,1250310,"Wednesday","09h-10h",2020-01-01,1
"42993","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2681721,1245593,"Wednesday","10h-11h",2020-01-01,1
"42994","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682803,1247375,"Wednesday","10h-11h",2020-01-01,1
"42995","Crossing the lane(s)","Property damage",FALSE,FALSE,FALSE,"Minor road",2685549,1248466,"Wednesday","11h-12h",2020-01-01,1
"42996",NA,"Property damage",FALSE,FALSE,FALSE,"Minor road",2684676,1247590,"Wednesday","11h-12h",2020-01-01,1
"42997","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2682784,1251132,"Wednesday","11h-12h",2020-01-01,1
"42998","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683525,1247741,"Wednesday","14h-15h",2020-01-01,1
"42999","Accident involving pedestrian(s)","Light injuries",TRUE,FALSE,FALSE,"Minor road",2683068,1249545,"Wednesday","15h-16h",2020-01-01,1
"43000","Rear-end collision","Light injuries",FALSE,TRUE,FALSE,"Principal road",2683791,1248312,"Wednesday","16h-17h",2020-01-01,1
"43001","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682871,1245586,"Wednesday","16h-17h",2020-01-01,1
"43002","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2679807,1248475,"Wednesday","17h-18h",2020-01-01,1
"43003","Rear-end collision","Light injuries",FALSE,FALSE,FALSE,"Principal road",2680821,1247099,"Wednesday","17h-18h",2020-01-01,1
"43004","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2683123,1246662,"Wednesday","17h-18h",2020-01-01,1
"43005","Parking","Property damage",FALSE,FALSE,FALSE,"Principal road",2684886,1244859,"Wednesday","18h-19h",2020-01-01,1
"43006","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2682815,1247575,"Thursday","03h-04h",2020-01-01,1
"43007","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2682569,1248919,"Thursday","05h-06h",2020-01-01,1
"43008",NA,"Property damage",FALSE,FALSE,FALSE,"Motorway",2679621,1253327,"Thursday","07h-08h",2020-01-01,1
"43009","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2682892,1246679,"Thursday","07h-08h",2020-01-01,1
"43010","Crossing the lane(s)","Property damage",FALSE,TRUE,FALSE,"Minor road",2684118,1247158,"Thursday","08h-09h",2020-01-01,1
"43011",NA,"Property damage",FALSE,FALSE,FALSE,"Minor road",2682813,1247469,"Thursday","09h-10h",2020-01-01,1
"43012","Accident involving animal(s)","Property damage",FALSE,FALSE,FALSE,"Principal road",2681637,1251994,"Thursday","09h-10h",2020-01-01,1
"43013",NA,"Property damage",FALSE,FALSE,FALSE,"Principal road",2682690,1250248,"Thursday","10h-11h",2020-01-01,1
"43014","Turning-into main road","Property damage",FALSE,FALSE,FALSE,"Principal road",2682145,1247087,"Thursday","11h-12h",2020-01-01,1
"43015","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2683469,1251689,"Thursday","15h-16h",2020-01-01,1
"43016","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2681643,1252087,"Thursday","15h-16h",2020-01-01,1
"43017","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2680551,1245114,"Thursday","17h-18h",2020-01-01,1
"43018","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Motorway",2685241,1251500,"Thursday","17h-18h",2020-01-01,1
"43019","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683620,1252353,"Thursday","18h-19h",2020-01-01,1
"43020","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Motorway",2685302,1251579,"Thursday","18h-19h",2020-01-01,1
"43021","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2684390,1247095,"Thursday","18h-19h",2020-01-01,1
"43022","Turning left or right","Property damage",FALSE,FALSE,FALSE,"Principal road",2683624,1251449,"Thursday","18h-19h",2020-01-01,1
"43023","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2681288,1253931,"Thursday","21h-22h",2020-01-01,1
"43024","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2681024,1246205,"Friday","07h-08h",2020-01-01,1
"43025","Turning left or right","Light injuries",FALSE,TRUE,FALSE,"Minor road",2683330,1246798,"Friday","07h-08h",2020-01-01,1
"43026","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2682666,1252068,"Friday","07h-08h",2020-01-01,1
"43027","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682937,1247907,"Friday","08h-09h",2020-01-01,1
"43028","Rear-end collision","Light injuries",FALSE,TRUE,FALSE,"Principal road",2684797,1246859,"Friday","08h-09h",2020-01-01,1
"43029","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2683851,1247160,"Friday","09h-10h",2020-01-01,1
"43030","Skidding or self-accident","Light injuries",FALSE,TRUE,FALSE,"Minor road",2680862,1248081,"Friday","12h-13h",2020-01-01,1
"43031","Parking","Property damage",FALSE,FALSE,FALSE,"Other",2682861,1247403,"Friday","13h-14h",2020-01-01,1
"43032","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2682444,1249727,"Friday","13h-14h",2020-01-01,1
"43033","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683294,1253625,"Friday","14h-15h",2020-01-01,1
"43034",NA,"Property damage",FALSE,FALSE,FALSE,"Minor road",2682669,1250211,"Friday","14h-15h",2020-01-01,1
"43035","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682096,1243368,"Friday","15h-16h",2020-01-01,1
"43036","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2682648,1243631,"Friday","16h-17h",2020-01-01,1
"43037","Parking","Property damage",FALSE,FALSE,FALSE,"Other",2684790,1251769,"Friday","18h-19h",2020-01-01,1
"43038","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2679327,1248686,"Friday","18h-19h",2020-01-01,1
"43039","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2679468,1249179,"Friday","18h-19h",2020-01-01,1
"43040","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682490,1246388,"Friday","19h-20h",2020-01-01,1
"43041","Rear-end collision","Light injuries",FALSE,FALSE,FALSE,"Principal road",2686958,1251191,"Friday","23h-00h",2020-01-01,1
"43042","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2686955,1251199,"Friday","23h-00h",2020-01-01,1
"43043","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2681693,1247272,"Saturday","00h-01h",2020-01-01,1
"43044","Parking","Property damage",FALSE,FALSE,FALSE,"Other",2683795,1247038,"Saturday","01h-02h",2020-01-01,1
"43045","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2684149,1253366,"Saturday","09h-10h",2020-01-01,1
"43046","Parking","Property damage",FALSE,FALSE,FALSE,"Principal road",2682321,1249149,"Saturday","13h-14h",2020-01-01,1
"43047","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Expressway",2683498,1249696,"Saturday","14h-15h",2020-01-01,1
"43048","Turning-into main road","Property damage",FALSE,FALSE,FALSE,"Minor road",2683172,1247662,"Saturday","14h-15h",2020-01-01,1
"43049","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2682906,1247802,"Saturday","14h-15h",2020-01-01,1
"43050",NA,"Property damage",FALSE,FALSE,FALSE,"Principal road",2686646,1251337,"Saturday","16h-17h",2020-01-01,1
"43051","Skidding or self-accident","Light injuries",FALSE,FALSE,FALSE,"Minor road",2681195,1250359,"Saturday","17h-18h",2020-01-01,1
"43052","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2681987,1249721,"Saturday","22h-23h",2020-01-01,1
"43053","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2682757,1247559,"Sunday","03h-04h",2020-01-01,1
"43054","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2682412,1248574,"Sunday","05h-06h",2020-01-01,1
"43055","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2684654,1247805,"Sunday","08h-09h",2020-01-01,1
"43056","Turning-into main road","Property damage",FALSE,FALSE,FALSE,"Minor road",2684978,1247794,"Sunday","09h-10h",2020-01-01,1
"43057","Turning left or right","Property damage",FALSE,FALSE,FALSE,"Minor road",2681911,1247948,"Sunday","10h-11h",2020-01-01,1
"43058",NA,"Property damage",FALSE,FALSE,FALSE,"Minor road",2682490,1247187,"Sunday","11h-12h",2020-01-01,1
"43059","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2683360,1250424,"Sunday","12h-13h",2020-01-01,1
"43060","Accident involving pedestrian(s)","Light injuries",TRUE,FALSE,FALSE,"Minor road",2682509,1248782,"Sunday","13h-14h",2020-01-01,1
"43061","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2684375,1248281,"Sunday","16h-17h",2020-01-01,1
"43062",NA,"Property damage",FALSE,FALSE,FALSE,"Motorway",2681495,1244267,"Sunday","16h-17h",2020-01-01,1
"43063",NA,"Property damage",FALSE,FALSE,FALSE,"Minor road",2681490,1249572,"Sunday","19h-20h",2020-01-01,1
"43064","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2682932,1247794,"Sunday","20h-21h",2020-01-01,1
"43065","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2682731,1247600,"Monday","05h-06h",2020-01-01,1
"43066","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2680490,1248673,"Monday","08h-09h",2020-01-01,1
"43067","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2684668,1246310,"Monday","09h-10h",2020-01-01,1
"43068","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682564,1244482,"Monday","10h-11h",2020-01-01,1
"43069",NA,"Property damage",FALSE,FALSE,FALSE,"Principal road",2684592,1245190,"Monday","11h-12h",2020-01-01,1
"43070","Skidding or self-accident","Light injuries",FALSE,TRUE,FALSE,"Minor road",2684708,1252075,"Monday","12h-13h",2020-01-01,1
"43071","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682708,1249871,"Monday","13h-14h",2020-01-01,1
"43072","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682938,1248333,"Monday","13h-14h",2020-01-01,1
"43073",NA,"Property damage",FALSE,FALSE,FALSE,"Minor road",2682857,1247826,"Monday","15h-16h",2020-01-01,1
"43074","Accident involving pedestrian(s)","Severe injuries",TRUE,FALSE,FALSE,"Minor road",2683628,1253020,"Monday","15h-16h",2020-01-01,1
"43075","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2680626,1246157,"Monday","16h-17h",2020-01-01,1
"43076","Crossing the lane(s)","Light injuries",FALSE,TRUE,FALSE,"Principal road",2681803,1246619,"Monday","20h-21h",2020-01-01,1
"43077","Accident involving animal(s)","Property damage",FALSE,FALSE,FALSE,"Motorway",2685172,1251434,"Tuesday","06h-07h",2020-01-01,1
"43078","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682982,1246735,"Tuesday","07h-08h",2020-01-01,1
"43079","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2682842,1247126,"Tuesday","07h-08h",2020-01-01,1
"43080","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2682436,1247304,"Tuesday","07h-08h",2020-01-01,1
"43081","Rear-end collision","Light injuries",FALSE,FALSE,FALSE,"Principal road",2682913,1250585,"Tuesday","07h-08h",2020-01-01,1
"43082","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682555,1244345,"Tuesday","09h-10h",2020-01-01,1
"43083","Turning left or right","Property damage",FALSE,TRUE,FALSE,"Minor road",2681621,1246332,"Tuesday","13h-14h",2020-01-01,1
"43084","Turning left or right","Light injuries",FALSE,FALSE,FALSE,"Principal road",2683851,1252874,"Tuesday","16h-17h",2020-01-01,1
"43085","Skidding or self-accident","Light injuries",FALSE,TRUE,FALSE,"Minor road",2683472,1248321,"Tuesday","17h-18h",2020-01-01,1
"43086","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2682479,1250173,"Tuesday","19h-20h",2020-01-01,1
"43087",NA,"Property damage",FALSE,FALSE,FALSE,"Principal road",2683672,1250519,"Tuesday","19h-20h",2020-01-01,1
"43088","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2683126,1252367,"Tuesday","19h-20h",2020-01-01,1
"43089","Skidding or self-accident","Light injuries",FALSE,FALSE,TRUE,"Minor road",2683423,1248650,"Wednesday","09h-10h",2020-01-01,1
"43090","Turning left or right","Light injuries",FALSE,FALSE,FALSE,"Minor road",2684536,1251713,"Wednesday","11h-12h",2020-01-01,1
"43091","Turning-into main road","Light injuries",FALSE,FALSE,TRUE,"Minor road",2679669,1248262,"Wednesday","11h-12h",2020-01-01,1
"43092","Skidding or self-accident","Light injuries",FALSE,TRUE,FALSE,"Minor road",2681472,1246132,"Wednesday","11h-12h",2020-01-01,1
"43093","Parking","Property damage",FALSE,FALSE,FALSE,"Principal road",2681985,1247230,"Wednesday","14h-15h",2020-01-01,1
"43094","Rear-end collision","Light injuries",FALSE,FALSE,FALSE,"Principal road",2680751,1252475,"Wednesday","14h-15h",2020-01-01,1
"43095","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2687831,1246160,"Wednesday","14h-15h",2020-01-01,1
"43096","Other","Light injuries",FALSE,FALSE,FALSE,"Other",2683552,1246850,"Wednesday","15h-16h",2020-01-01,1
"43097","Skidding or self-accident","Light injuries",FALSE,FALSE,FALSE,"Motorway",2684242,1250832,"Wednesday","15h-16h",2020-01-01,1
"43098",NA,"Property damage",FALSE,FALSE,FALSE,"Motorway",2683413,1254090,"Wednesday","15h-16h",2020-01-01,1
"43099","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2679485,1249244,"Wednesday","16h-17h",2020-01-01,1
"43100",NA,"Property damage",FALSE,FALSE,FALSE,"Motorway",2684037,1253766,"Wednesday","17h-18h",2020-01-01,1
"43101","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2680759,1248150,"Wednesday","17h-18h",2020-01-01,1
"43102","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2681603,1249026,"Wednesday","17h-18h",2020-01-01,1
"43103","Rear-end collision","Light injuries",FALSE,TRUE,FALSE,"Minor road",2682964,1249529,"Wednesday","18h-19h",2020-01-01,1
"43104",NA,"Property damage",FALSE,FALSE,FALSE,"Principal road",2680497,1252625,"Wednesday","18h-19h",2020-01-01,1
"43105","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2684529,1252268,"Wednesday","19h-20h",2020-01-01,1
"43106","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2684251,1247073,"Wednesday","19h-20h",2020-01-01,1
"43107","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682828,1247938,"Wednesday","20h-21h",2020-01-01,1
"43108","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2681714,1243735,"Thursday","00h-01h",2020-01-01,1
"43109","Accident involving pedestrian(s)","Severe injuries",TRUE,FALSE,FALSE,"Minor road",2683317,1247821,"Thursday","06h-07h",2020-01-01,1
"43110","Parking","Property damage",FALSE,FALSE,FALSE,"Other",2683748,1247867,"Thursday","07h-08h",2020-01-01,1
"43111","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2681719,1244000,"Thursday","08h-09h",2020-01-01,1
"43112","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2681713,1243705,"Thursday","08h-09h",2020-01-01,1
"43113","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2682658,1248403,"Thursday","09h-10h",2020-01-01,1
"43114","Crossing the lane(s)","Light injuries",FALSE,TRUE,FALSE,"Minor road",2680400,1248396,"Thursday","09h-10h",2020-01-01,1
"43115","Accident involving pedestrian(s)","Light injuries",TRUE,FALSE,FALSE,"Minor road",2684044,1246211,"Thursday","10h-11h",2020-01-01,1
"43116","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2683139,1249432,"Thursday","12h-13h",2020-01-01,1
"43117","Other","Severe injuries",TRUE,FALSE,FALSE,"Minor road",2679358,1249433,"Thursday","15h-16h",2020-01-01,1
"43118","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2680510,1246932,"Thursday","16h-17h",2020-01-01,1
"43119","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683207,1247952,"Thursday","17h-18h",2020-01-01,1
"43120",NA,"Property damage",FALSE,FALSE,FALSE,"Motorway",2679570,1253303,"Thursday","17h-18h",2020-01-01,1
"43121","Turning left or right","Property damage",FALSE,FALSE,FALSE,"Minor road",2681788,1247633,"Thursday","17h-18h",2020-01-01,1
"43122","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Motorway",2679683,1253393,"Thursday","17h-18h",2020-01-01,1
"43123","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2683585,1252030,"Thursday","18h-19h",2020-01-01,1
"43124","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2681564,1247701,"Thursday","18h-19h",2020-01-01,1
"43125","Turning-into main road","Property damage",FALSE,FALSE,FALSE,"Minor road",2682273,1247701,"Thursday","18h-19h",2020-01-01,1
"43126","Turning left or right","Light injuries",FALSE,FALSE,TRUE,"Minor road",2682677,1244629,"Thursday","19h-20h",2020-01-01,1
"43127","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2684705,1252134,"Thursday","19h-20h",2020-01-01,1
"43128","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682998,1249305,"Thursday","20h-21h",2020-01-01,1
"43129","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Motorway",2682366,1242689,"Thursday","22h-23h",2020-01-01,1
"43130","Rear-end collision","Light injuries",FALSE,FALSE,TRUE,"Principal road",2682305,1247597,"Friday","07h-08h",2020-01-01,1
"43131","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2678901,1248236,"Friday","11h-12h",2020-01-01,1
"43132","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682916,1242825,"Friday","13h-14h",2020-01-01,1
"43133","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682406,1244718,"Friday","14h-15h",2020-01-01,1
"43134","Skidding or self-accident","Light injuries",FALSE,TRUE,FALSE,"Minor road",2682625,1246430,"Friday","15h-16h",2020-01-01,1
"43135","Turning left or right","Property damage",FALSE,FALSE,FALSE,"Minor road",2684114,1247151,"Friday","18h-19h",2020-01-01,1
"43136","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2683557,1252037,"Friday","19h-20h",2020-01-01,1
"43137","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2684344,1250758,"Friday","23h-00h",2020-01-01,1
"43138","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2685578,1251434,"Friday","23h-00h",2020-01-01,1
"43139","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2682157,1250045,"Saturday","03h-04h",2020-02-01,1
"43140","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2684772,1244996,"Saturday","08h-09h",2020-02-01,1
"43141","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2684539,1251967,"Saturday","08h-09h",2020-02-01,1
"43142","Turning left or right","Property damage",FALSE,FALSE,FALSE,"Principal road",2683593,1252494,"Saturday","10h-11h",2020-02-01,1
"43143","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2679380,1248416,"Saturday","10h-11h",2020-02-01,1
"43144","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682804,1247903,"Saturday","11h-12h",2020-02-01,1
"43145","Accident involving pedestrian(s)","Severe injuries",TRUE,FALSE,FALSE,"Minor road",2683467,1251757,"Saturday","11h-12h",2020-02-01,1
"43146","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2678251,1248575,"Saturday","12h-13h",2020-02-01,1
"43147","Rear-end collision","Light injuries",FALSE,FALSE,TRUE,"Principal road",2682087,1247044,"Saturday","12h-13h",2020-02-01,1
