"","type","severity","pedestrian","bicycle","motorcycle","roadtype","coord_e","coord_n","weekday","hour","date","accidents"
"42802",NA,"Property damage",FALSE,FALSE,FALSE,"Principal road",2683851,1247187,"Wednesday","22h-23h",2020-01-01,1
"42803","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2680421,1253162,"Wednesday","23h-00h",2020-01-01,1
"42804","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Motorway",2680998,1253835,"Thursday","07h-08h",2020-01-01,1
"42805","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2684591,1246355,"Thursday","08h-09h",2020-01-01,1
"42806","Accident involving pedestrian(s)","Severe injuries",FALSE,TRUE,FALSE,"Minor road",2682167,1248033,"Thursday","08h-09h",2020-01-01,1
"42807","Turning left or right","Light injuries",FALSE,TRUE,FALSE,"Minor road",2682369,1247425,"Thursday","09h-10h",2020-01-01,1
"42808","Skidding or self-accident","Property damage",FALSE,TRUE,FALSE,"Minor road",2682641,1247875,"Thursday","09h-10h",2020-01-01,1
"42809","Parking","Light injuries",FALSE,FALSE,FALSE,"Minor road",2679823,1250756,"Thursday","09h-10h",2020-01-01,1
"42810","Turning left or right","Property damage",FALSE,FALSE,FALSE,"Minor road",2679351,1249389,"Thursday","10h-11h",2020-01-01,1
"42811","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2684214,1253498,"Thursday","12h-13h",2020-01-01,1
"42812","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2686177,1251409,"Thursday","13h-14h",2020-01-01,1
"42813","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2683236,1252078,"Thursday","14h-15h",2020-01-01,1
"42814","Rear-end collision","Light injuries",FALSE,FALSE,FALSE,"Principal road",2683558,1250020,"Thursday","15h-16h",2020-01-01,1
"42815","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2683815,1252832,"Thursday","15h-16h",2020-01-01,1
"42816","Skidding or self-accident","Light injuries",FALSE,FALSE,FALSE,"Motorway",2680273,1253506,"Thursday","15h-16h",2020-01-01,1
"42817",NA,"Property damage",FALSE,FALSE,FALSE,"Minor road",2679797,1248147,"Thursday","15h-16h",2020-01-01,1
"42818","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2683525,1252193,"Thursday","16h-17h",2020-01-01,1
"42819","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683523,1247790,"Thursday","16h-17h",2020-01-01,1
"42820","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Other",2678769,1249762,"Thursday","19h-20h",2020-01-01,1
"42821","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2681085,1249363,"Thursday","20h-21h",2020-01-01,1
"42822","Crossing the lane(s)","Property damage",FALSE,FALSE,FALSE,"Minor road",2682543,1248793,"Friday","03h-04h",2020-01-01,1
"42823","Turning-into main road","Property damage",FALSE,FALSE,FALSE,"Minor road",2683813,1247270,"Friday","08h-09h",2020-01-01,1
"42824",NA,"Property damage",FALSE,FALSE,FALSE,"Motorway",2681921,1243572,"Friday","08h-09h",2020-01-01,1
"42825","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682297,1247673,"Friday","08h-09h",2020-01-01,1
"42826","Parking","Property damage",FALSE,FALSE,FALSE,"Other",2683539,1247594,"Friday","10h-11h",2020-01-01,1
"42827","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2680377,1247955,"Friday","12h-13h",2020-01-01,1
"42828","Turning left or right","Light injuries",FALSE,TRUE,FALSE,"Minor road",2680604,1248588,"Friday","13h-14h",2020-01-01,1
"42829","Rear-end collision","Property damage",FALSE,FALSE,TRUE,"Minor road",2680851,1247994,"Friday","14h-15h",2020-01-01,1
"42830","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2682793,1244767,"Friday","15h-16h",2020-01-01,1
"42831","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2680744,1245674,"Friday","16h-17h",2020-01-01,1
"42832","Skidding or self-accident","Light injuries",FALSE,TRUE,FALSE,"Minor road",2681379,1248472,"Saturday","00h-01h",2020-01-01,1
"42833","Turning left or right","Property damage",FALSE,FALSE,FALSE,"Minor road",2682121,1247081,"Saturday","00h-01h",2020-01-01,1
"42834","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682356,1247936,"Saturday","07h-08h",2020-01-01,1
"42835","Turning left or right","Property damage",FALSE,TRUE,FALSE,"Principal road",2682084,1247033,"Saturday","08h-09h",2020-01-01,1
"42836","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683319,1251552,"Saturday","10h-11h",2020-01-01,1
"42837","Turning-into main road","Light injuries",FALSE,FALSE,TRUE,"Minor road",2679992,1247867,"Saturday","11h-12h",2020-01-01,1
"42838","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2683287,1246870,"Saturday","15h-16h",2020-01-01,1
"42839","Parking","Property damage",FALSE,FALSE,FALSE,"Other",2683149,1251933,"Saturday","17h-18h",2020-01-01,1
"42840","Parking","Property damage",FALSE,FALSE,FALSE,"Other",2679254,1248705,"Saturday","18h-19h",2020-01-01,1
"42841",NA,"Property damage",FALSE,FALSE,FALSE,"Minor road",2682896,1247311,"Saturday","23h-00h",2020-01-01,1
"42842",NA,"Property damage",FALSE,FALSE,FALSE,"Principal road",2683853,1247180,"Sunday","00h-01h",2020-01-01,1
"42843","Turning left or right","Property damage",FALSE,FALSE,FALSE,"Minor road",2682098,1248326,"Sunday","05h-06h",2020-01-01,1
"42844","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683192,1247960,"Sunday","05h-06h",2020-01-01,1
"42845","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682609,1248031,"Sunday","12h-13h",2020-01-01,1
"42846","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2685215,1246707,"Sunday","12h-13h",2020-01-01,1
"42847","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Other",2679806,1249226,"Sunday","12h-13h",2020-01-01,1
"42848","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2681947,1246836,"Sunday","14h-15h",2020-01-01,1
"42849","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2684555,1251176,"Sunday","15h-16h",2020-01-01,1
"42850","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2683085,1248163,"Sunday","15h-16h",2020-01-01,1
"42851","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2682800,1249019,"Sunday","17h-18h",2020-01-01,1
"42852","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2685621,1248395,"Monday","08h-09h",2020-01-01,1
"42853","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683883,1246295,"Monday","08h-09h",2020-01-01,1
"42854",NA,"Property damage",FALSE,FALSE,FALSE,"Principal road",2682085,1247041,"Monday","09h-10h",2020-01-01,1
"42855","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2681606,1246323,"Monday","09h-10h",2020-01-01,1
"42856","Turning left or right","Light injuries",FALSE,FALSE,FALSE,"Minor road",2682980,1248212,"Monday","10h-11h",2020-01-01,1
"42857",NA,"Property damage",FALSE,FALSE,FALSE,"Minor road",2683769,1246600,"Monday","12h-13h",2020-01-01,1
"42858","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2682946,1246959,"Monday","13h-14h",2020-01-01,1
"42859","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2681656,1248055,"Monday","13h-14h",2020-01-01,1
"42860","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Motorway",2681785,1244068,"Monday","15h-16h",2020-01-01,1
"42861","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2682085,1247323,"Monday","16h-17h",2020-01-01,1
"42862","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2684756,1246704,"Monday","16h-17h",2020-01-01,1
"42863","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2684774,1246372,"Monday","16h-17h",2020-01-01,1
"42864","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2682120,1247072,"Monday","17h-18h",2020-01-01,1
"42865","Rear-end collision","Light injuries",FALSE,FALSE,FALSE,"Principal road",2685496,1250933,"Monday","17h-18h",2020-01-01,1
"42866","Skidding or self-accident","Light injuries",FALSE,TRUE,FALSE,"Minor road",2683711,1253061,"Monday","18h-19h",2020-01-01,1
"42867","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2681449,1248857,"Monday","19h-20h",2020-01-01,1
"42868","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2683438,1252203,"Tuesday","06h-07h",2020-01-01,1
