"type","severity","pedestrian","bicycle","motorcycle","roadtype","coord_e","coord_n","year","month","month_name","weekday","weekday_name","hour"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2682039,1247600,2020,1,"January",1,"Monday","18h-19h"
"Other","Property damage",FALSE,FALSE,FALSE,"Minor road",2686464,1245905,2020,1,"January",1,"Monday","20h-21h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Other",2684784,1246941,2020,1,"January",2,"Tuesday","08h-09h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2684716,1246992,2020,1,"January",2,"Tuesday","13h-14h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Other",2681780,1250398,2020,1,"January",2,"Tuesday","14h-15h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2684392,1246598,2020,1,"January",2,"Tuesday","17h-18h"
"Turning-into main road","Property damage",FALSE,TRUE,FALSE,"Minor road",2681415,1245902,2020,1,"January",2,"Tuesday","19h-20h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2679916,1247745,2020,1,"January",2,"Tuesday","21h-22h"
"Head-on collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2680953,1249214,2020,1,"January",3,"Wednesday","01h-02h"
"Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Motorway",2681962,1244822,2020,1,"January",3,"Wednesday","06h-07h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2683094,1249153,2020,1,"January",3,"Wednesday","07h-08h"
"Rear-end collision","Property damage",FALSE,FALSE,TRUE,"Minor road",2683727,1247769,2020,1,"January",3,"Wednesday","08h-09h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2686621,1250736,2020,1,"January",3,"Wednesday","12h-13h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2683798,1246222,2020,1,"January",3,"Wednesday","12h-13h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2683792,1246236,2020,1,"January",3,"Wednesday","13h-14h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2680729,1246114,2020,1,"January",3,"Wednesday","14h-15h"
"Rear-end collision","Light injuries",FALSE,FALSE,FALSE,"Minor road",2683616,1247707,2020,1,"January",3,"Wednesday","14h-15h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Other",2681878,1245958,2020,1,"January",3,"Wednesday","16h-17h"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Minor road",2684062,1245964,2020,1,"January",3,"Wednesday","17h-18h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2683813,1248907,2020,1,"January",3,"Wednesday","19h-20h"
"Turning left or right","Property damage",FALSE,FALSE,FALSE,"Principal road",2683881,1251129,2020,1,"January",3,"Wednesday","19h-20h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2684250,1246588,2020,1,"January",3,"Wednesday","19h-20h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2684282,1251091,2020,1,"January",3,"Wednesday","20h-21h"
"Crossing the lane(s)","Property damage",FALSE,FALSE,FALSE,"Principal road",2680775,1248799,2020,1,"January",3,"Wednesday","22h-23h"
